기업 이름,이동 링크,총 만족도,평균 임금
제너시스템즈(주),/companies/56877/info/%EC%A0%9C%EB%84%88%EC%8B%9C%EC%8A%A4%ED%85%9C%EC%A6%88?,3.7,"4,278"
(주)지란지교시큐리티,/companies/92091/info/%EC%A7%80%EB%9E%80%EC%A7%80%EA%B5%90%EC%8B%9C%ED%81%90%EB%A6%AC%ED%8B%B0?,3.7,"4,549"
한국마이크로소프트(유),/companies/3627/info/%ED%95%9C%EA%B5%AD%EB%A7%88%EC%9D%B4%ED%81%AC%EB%A1%9C%EC%86%8C%ED%94%84%ED%8A%B8?,3.7,"8,555"
(주)드라마앤컴퍼니,/companies/80176/info/%EB%93%9C%EB%9D%BC%EB%A7%88%EC%95%A4%EC%BB%B4%ED%8D%BC%EB%8B%88?,3.7,"5,588"
(주)액션스퀘어,/companies/274423/info/%EC%95%A1%EC%85%98%EC%8A%A4%ED%80%98%EC%96%B4?,3.7,"4,786"
일렉트로닉아츠코리아(유),/companies/12945/info/%EC%9D%BC%EB%A0%89%ED%8A%B8%EB%A1%9C%EB%8B%89%EC%95%84%EC%B8%A0%EC%BD%94%EB%A6%AC%EC%95%84?,3.7,"7,679"
(주)에이프릴세븐,/companies/64833/info/%EC%97%90%EC%9D%B4%ED%94%84%EB%A6%B4%EC%84%B8%EB%B8%90?,3.7,"6,162"
(주)카카오모빌리티,/companies/326438/info/%EC%B9%B4%EC%B9%B4%EC%98%A4%EB%AA%A8%EB%B9%8C%EB%A6%AC%ED%8B%B0?,3.7,"6,543"
맨텍(주),/companies/77748/info/%EB%A7%A8%ED%85%8D?,3.7,"5,196"
텀블벅(주),/companies/311295/info/%ED%85%80%EB%B8%94%EB%B2%85?,3.7,"4,564"
(주)슈퍼크리에이티브,/companies/357927/info/%EC%8A%88%ED%8D%BC%ED%81%AC%EB%A6%AC%EC%97%90%EC%9D%B4%ED%8B%B0%EB%B8%8C?,3.6,"4,684"
(주)코이노,/companies/52645/info/%EC%BD%94%EC%9D%B4%EB%85%B8?,3.6,"3,592"
엠비아이솔루션(주),/companies/328600/info/%EC%97%A0%EB%B9%84%EC%95%84%EC%9D%B4%EC%86%94%EB%A3%A8%EC%85%98?,3.6,"5,249"
지식시스템(주),/companies/10041/info/%EC%A7%80%EC%8B%9D%EC%8B%9C%EC%8A%A4%ED%85%9C?,3.6,"3,714"
(주)네오플,/companies/83677/info/%EB%84%A4%EC%98%A4%ED%94%8C?,3.6,"5,100"
(주)자버,/companies/341001/info/%EC%9E%90%EB%B2%84?,3.6,"3,031"
시스포유(주),/companies/70380/info/%EC%8B%9C%EC%8A%A4%ED%8F%AC%EC%9C%A0?,3.6,"2,732"
아이티스정보통신(주),/companies/256837/info/%EC%95%84%EC%9D%B4%ED%8B%B0%EC%8A%A4%EC%A0%95%EB%B3%B4%ED%86%B5%EC%8B%A0?,3.6,"3,426"
(주)클루커스,/companies/359064/info/%ED%81%B4%EB%A3%A8%EC%BB%A4%EC%8A%A4?,3.6,"4,900"
에스케이테크엑스(주),/companies/317958/info/%EC%97%90%EC%8A%A4%EC%BC%80%EC%9D%B4%ED%85%8C%ED%81%AC%EC%97%91%EC%8A%A4?,3.6,"6,235"
엔테크서비스(주),/companies/19802/info/%EC%97%94%ED%85%8C%ED%81%AC%EC%84%9C%EB%B9%84%EC%8A%A4?,3.6,"4,301"
웍스모바일(주),/companies/312497/info/%EC%9B%8D%EC%8A%A4%EB%AA%A8%EB%B0%94%EC%9D%BC?,3.6,"5,697"
(주)딥핑소스,/companies/379521/info/%EB%94%A5%ED%95%91%EC%86%8C%EC%8A%A4?,3.6,"2,932"
(주)비바리퍼블리카,/companies/309507/info/%EB%B9%84%EB%B0%94%EB%A6%AC%ED%8D%BC%EB%B8%94%EB%A6%AC%EC%B9%B4?,3.6,"6,117"
(주)새움소프트,/companies/73258/info/%EC%83%88%EC%9B%80%EC%86%8C%ED%94%84%ED%8A%B8?,3.6,"3,189"
(주)힐링페이퍼,/companies/322610/info/%ED%9E%90%EB%A7%81%ED%8E%98%EC%9D%B4%ED%8D%BC?,3.6,"4,748"
(주)애드니즈컴퍼니,/companies/363347/info/%EC%95%A0%EB%93%9C%EB%8B%88%EC%A6%88%EC%BB%B4%ED%8D%BC%EB%8B%88?,3.6,"2,910"
(주)토큰포스트,/companies/341195/info/%ED%86%A0%ED%81%B0%ED%8F%AC%EC%8A%A4%ED%8A%B8?,3.6,"3,599"
에너지엑스(주),/companies/365959/info/%EC%97%90%EB%84%88%EC%A7%80%EC%97%91%EC%8A%A4?,3.6,"4,047"
(주)라이트브레인,/companies/310961/info/%EB%9D%BC%EC%9D%B4%ED%8A%B8%EB%B8%8C%EB%A0%88%EC%9D%B8?,3.6,"4,104"
(주)모코엠시스,/companies/77099/info/%EB%AA%A8%EC%BD%94%EC%97%A0%EC%8B%9C%EC%8A%A4?,3.6,"4,486"
(주)신시웨이,/companies/70041/info/%EC%8B%A0%EC%8B%9C%EC%9B%A8%EC%9D%B4?,3.6,"3,988"
(주)에이아이트릭스,/companies/355944/info/%EC%97%90%EC%9D%B4%EC%95%84%EC%9D%B4%ED%8A%B8%EB%A6%AD%EC%8A%A4?,3.6,"6,147"
(주)드제이,/companies/382596/info/%EB%93%9C%EC%A0%9C%EC%9D%B4?,3.6,"5,031"
(주)스트라드비젼,/companies/338506/info/%EC%8A%A4%ED%8A%B8%EB%9D%BC%EB%93%9C%EB%B9%84%EC%A0%BC?,3.6,"6,116"
(주)에스피아이티,/companies/333138/info/%EC%97%90%EC%8A%A4%ED%94%BC%EC%95%84%EC%9D%B4%ED%8B%B0?,3.6,"3,344"
(주)에이치알맨파워그룹,/companies/90052/info/%EC%97%90%EC%9D%B4%EC%B9%98%EC%95%8C%EB%A7%A8%ED%8C%8C%EC%9B%8C%EA%B7%B8%EB%A3%B9?,3.6,"2,960"
(주)제이시스,/companies/392120/info/%EC%A0%9C%EC%9D%B4%EC%8B%9C%EC%8A%A4?,3.8,"6,073"
라쿠텐,/companies/91385/info/%EB%9D%BC%EC%BF%A0%ED%85%90?,3.6,"6,017"
(주)사이버텔브릿지,/companies/98205/info/%EC%82%AC%EC%9D%B4%EB%B2%84%ED%85%94%EB%B8%8C%EB%A6%BF%EC%A7%80?,3.6,"3,675"
(주)엑스퍼넷,/companies/64540/info/%EC%97%91%EC%8A%A4%ED%8D%BC%EB%84%B7?,3.6,"4,009"
(주)엔씨소프트,/companies/64418/info/%EC%97%94%EC%94%A8%EC%86%8C%ED%94%84%ED%8A%B8?,3.6,"6,188"
핀다,/companies/312220/info/%ED%95%80%EB%8B%A4?,3.6,"5,621"
(주)브라이센코리아,/companies/347375/info/%EB%B8%8C%EB%9D%BC%EC%9D%B4%EC%84%BC%EC%BD%94%EB%A6%AC%EC%95%84?,3.6,"4,220"
(주)이브이알스튜디오,/companies/333081/info/%EC%9D%B4%EB%B8%8C%EC%9D%B4%EC%95%8C%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4?,3.6,"4,272"
(주)클라우다이크,/companies/312118/info/%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%8B%A4%EC%9D%B4%ED%81%AC?,3.6,"3,610"
(주)플라이셔,/companies/325045/info/%ED%94%8C%EB%9D%BC%EC%9D%B4%EC%85%94?,3.6,"4,820"
(주)한국해양기상기술,/companies/48522/info/%ED%95%9C%EA%B5%AD%ED%95%B4%EC%96%91%EA%B8%B0%EC%83%81%EA%B8%B0%EC%88%A0?,3.6,"4,255"
에스케이(주),/companies/20613/info/%EC%97%90%EC%8A%A4%EC%BC%80%EC%9D%B4?,3.6,"6,354"
카테노이드(주),/companies/7988/info/%EC%B9%B4%ED%85%8C%EB%85%B8%EC%9D%B4%EB%93%9C?,3.6,"4,745"
하늘연소프트(주),/companies/49157/info/%ED%95%98%EB%8A%98%EC%97%B0%EC%86%8C%ED%94%84%ED%8A%B8?,3.6,"4,765"
(주)레티널,/companies/345142/info/%EB%A0%88%ED%8B%B0%EB%84%90?,3.6,"5,472"
(주)미스터멘션,/companies/328634/info/%EB%AF%B8%EC%8A%A4%ED%84%B0%EB%A9%98%EC%85%98?,3.6,"3,585"
